Rented Bike Count,Hour,Temperature(°C),Humidity(%),Rainfall(mm),Seasons,Functioning Day
15.937377450509228,0.0,0.22027972027972026,0.37755102040816324,0.0,1.0,1.0
14.2828568570857,0.043478260869565216,0.215034965034965,0.3877551020408163,0.0,1.0,1.0
13.152946437965905,0.08695652173913043,0.20629370629370625,0.39795918367346933,0.0,1.0,1.0
10.344080432788601,0.13043478260869565,0.20279720279720276,0.4081632653061224,0.0,1.0,1.0
8.831760866327848,0.17391304347826086,0.20629370629370625,0.36734693877551017,0.0,1.0,1.0
10.0,0.21739130434782608,0.19930069930069927,0.37755102040816324,0.0,1.0,1.0
13.45362404707371,0.2608695652173913,0.19580419580419578,0.3571428571428571,0.0,1.0,1.0
21.447610589527216,0.30434782608695654,0.1818181818181818,0.3877551020408163,0.0,1.0,1.0
30.495901363953813,0.34782608695652173,0.1783216783216783,0.37755102040816324,0.0,1.0,1.0
22.135943621178654,0.3913043478260869,0.19755244755244752,0.2755102040816326,0.0,1.0,1.0
18.411952639521967,0.43478260869565216,0.24999999999999994,0.24489795918367346,0.0,1.0,1.0
18.973665961010276,0.4782608695652174,0.3024475524475524,0.21428571428571427,0.0,1.0,1.0
21.18962010041709,0.5217391304347826,0.3409090909090909,0.2346938775510204,0.0,1.0,1.0
21.236760581595302,0.5652173913043478,0.3531468531468531,0.25510204081632654,0.0,1.0,1.0
21.142374511865974,0.6086956521739131,0.3636363636363636,0.26530612244897955,0.0,1.0,1.0
21.517434791350013,0.6521739130434783,0.34790209790209786,0.36734693877551017,0.0,1.0,1.0
22.0,0.6956521739130435,0.33216783216783213,0.5510204081632653,0.0,1.0,1.0
23.558437978779494,0.7391304347826086,0.3251748251748251,0.5918367346938775,0.0,1.0,1.0
29.359836511806396,0.7826086956521738,0.3216783216783216,0.673469387755102,0.0,1.0,1.0
24.49489742783178,0.8260869565217391,0.31118881118881114,0.7857142857142857,0.0,1.0,1.0
20.639767440550294,0.8695652173913043,0.3059440559440559,0.8061224489795917,0.0,1.0,1.0
20.12461179749811,0.9130434782608695,0.2972027972027972,0.8265306122448979,0.0,1.0,1.0
19.949937343260004,0.9565217391304348,0.2954545454545454,0.846938775510204,0.0,1.0,1.0
17.97220075561143,1.0,0.28846153846153844,0.8571428571428571,0.0,1.0,1.0
18.110770276274835,0.0,0.2797202797202797,0.8877551020408162,0.0,1.0,1.0
17.549928774784245,0.043478260869565216,0.2727272727272727,0.8775510204081632,0.0,1.0,1.0
16.186414056238647,0.08695652173913043,0.26048951048951047,0.8775510204081632,0.0,1.0,1.0
12.922847983320086,0.13043478260869565,0.24999999999999994,0.8265306122448979,0.0,1.0,1.0
9.433981132056603,0.17391304347826086,0.24475524475524474,0.8061224489795917,0.0,1.0,1.0
8.888194417315589,0.21739130434782608,0.24125874125874122,0.8061224489795917,0.0,1.0,1.0
8.366600265340756,0.2608695652173913,0.236013986013986,0.836734693877551,0.0,1.0,1.0
12.083045973594572,0.30434782608695654,0.23426573426573422,0.8265306122448979,0.0,1.0,1.0
14.798648586948742,0.34782608695652173,0.2377622377622377,0.8061224489795917,0.0,1.0,1.0
